"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword CSV","Searching by keyword apple should display the corresponding article","ERROR","2023-05-20T18:31:49.6614339+03:00[Europe/Bucharest]","0.0","2.59"
"Login","Log in","ERROR","2023-05-20T18:34:45.8102498+03:00[Europe/Bucharest]","0.0","8.48"
"Search by keyword story","Searching by keyword banana should display the corresponding article","SUCCESS","2023-05-20T18:55:02.5135825+03:00[Europe/Bucharest]","0.0","11.15"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2023-05-20T18:55:14.8758946+03:00[Europe/Bucharest]","0.0","0.93"
"Search by keyword story","Searching by keyword apple should display the corresponding article","ERROR","2023-05-20T18:58:36.5940423+03:00[Europe/Bucharest]","0.0","9.1"
"Search by keyword story","Log in","ERROR","2023-05-20T19:07:16.0266265+03:00[Europe/Bucharest]","0.0","2.9"
