"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Searching by keyword apple should display the corresponding article","ERROR","2023-05-20T18:58:36.5940423+03:00[Europe/Bucharest]","0.0","9.1"
"Search by keyword story","Log in","ERROR","2023-05-20T19:07:16.0266265+03:00[Europe/Bucharest]","0.0","2.9"
